City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,burao,9.5221,45.5336,76.12,49,17,11.92,SO,1732549467
220,tolanaro,-25.0319,46.9987,82.47,83,75,13.8,MG,1732549468
221,natal,-5.795,-35.2094,88.45,58,75,16.11,BR,1732549391
222,quipapa,-8.8278,-36.0117,93.13,33,41,8.46,BR,1732549471
223,fale old settlement,-9.3852,-171.2468,83.3,75,98,15.93,TK,1732549473
224,muli,2.9167,73.5667,81.73,76,100,9.6,MV,1732549474
225,wucheng,29.6008,118.175,46.38,90,100,4.85,CN,1732549475
226,lufilufi,-13.8745,-171.5986,80.85,77,89,12.06,WS,1732549476
227,iskateley,67.6803,53.1512,26.83,85,100,28.83,RU,1732549478
228,chonchi,-42.6128,-73.8092,51.12,98,100,8.52,CL,1732549479
229,kelkit,40.1298,39.4361,17.64,96,100,1.3,TR,1732549480
230,aberdeen,57.1437,-2.0981,47.19,74,40,19.57,GB,1732549442
231,gilgit,35.9221,74.3087,34.81,56,1,3.62,PK,1732549365
232,tralee,52.2704,-9.7026,44.85,93,40,6.91,IE,1732549483
233,atafu village,-8.5421,-172.5159,82.98,76,59,17.47,TK,1732549485
234,kishorganj,24.4333,90.7667,68.49,68,55,6.29,BD,1732549486
235,aurangabad,19.8833,75.3333,64.49,63,20,2.3,IN,1732549487
236,terrasson-lavilledieu,45.1301,1.3014,51.87,96,100,4.83,FR,1732549488
237,bac lieu,9.285,105.7244,80.02,85,100,13.82,VN,1732549489
238,zinjibar,13.1287,45.3807,80.46,65,2,12.71,YE,1732549491
239,zouerate,22.7187,-12.4521,88.68,9,0,9.93,MR,1732549492
240,quellon,-43.1167,-73.6167,51.01,95,100,19.62,CL,1732549493
241,colonia,50.9333,6.95,57.45,85,100,3.0,DE,1732549401
242,inhambane,-23.865,35.3833,84.18,70,0,11.99,MZ,1732549495
243,kerikeri,-35.2268,173.9474,55.9,88,87,3.49,NZ,1732549497
244,brookings,44.3114,-96.7984,20.17,78,0,13.8,US,1732549430
245,camacupa,-12.0167,17.4833,66.16,93,100,7.07,AO,1732549500
246,priargunsk,50.3691,119.1012,13.5,94,100,10.76,RU,1732549501
247,barra de santo antonio,-9.4047,-35.5072,82.11,68,23,15.77,BR,1732549503
248,susuman,62.7833,148.1667,-32.84,95,29,0.56,RU,1732549504
249,ketchikan,55.3422,-131.6461,29.34,66,78,3.2,US,1732549507
250,tamanrasset,22.785,5.5228,76.91,14,0,3.44,DZ,1732549508
251,kirakira,-10.4544,161.9205,80.42,83,98,2.62,SB,1732549511
252,hovd,48.0056,91.6419,13.98,74,6,5.99,MN,1732549512
